"GEO_ID","NAME","B19057_001E","B19057_001M","B19057_002E","B19057_002M","B19057_003E","B19057_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With public assistance income","Margin of Error!!Total:!!With public assistance income","Estimate!!Total:!!No public assistance income","Margin of Error!!Total:!!No public assistance income",
"0500000US01001","Autauga County, Alabama","22523","431","151","88","22372","432",
"0500000US01003","Baldwin County, Alabama","94642","1316","843","226","93799","1321",
"0500000US01005","Barbour County, Alabama","9080","315","168","65","8912","311",
"0500000US01007","Bibb County, Alabama","7571","288","383","137","7188","292",
"0500000US01009","Blount County, Alabama","21977","403","447","151","21530","427",
"0500000US01011","Bullock County, Alabama","3453","245","6","9","3447","246",
"0500000US01013","Butler County, Alabama","7262","313","94","57","7168","314",
"0500000US01015","Calhoun County, Alabama","45125","708","836","227","44289","726",
"0500000US01017","Chambers County, Alabama","13419","476","139","72","13280","492",
"0500000US01019","Cherokee County, Alabama","10477","416","199","106","10278","426",
"0500000US01021","Chilton County, Alabama","17554","415","430","154","17124","445",
"0500000US01023","Choctaw County, Alabama","5174","261","90","55","5084","258",
"0500000US01025","Clarke County, Alabama","8452","367","87","58","8365","369",
"0500000US01027","Clay County, Alabama","5765","262","338","130","5427","266",
"0500000US01029","Cleburne County, Alabama","5849","215","120","75","5729","222",
"0500000US01031","Coffee County, Alabama","20860","435","215","81","20645","426",
"0500000US01033","Colbert County, Alabama","24217","489","165","91","24052","499",
"0500000US01035","Conecuh County, Alabama","4528","265","141","100","4387","254",
"0500000US01037","Coosa County, Alabama","4201","203","29","29","4172","203",
"0500000US01039","Covington County, Alabama","14495","307","247","83","14248","303",
"0500000US01041","Crenshaw County, Alabama","5075","176","133","80","4942","193",
"0500000US01043","Cullman County, Alabama","34543","607","354","105","34189","626",
"0500000US01045","Dale County, Alabama","19769","356","425","127","19344","397",
"0500000US01047","Dallas County, Alabama","15416","426","1855","391","13561","541",
"0500000US01049","DeKalb County, Alabama","25946","462","330","120","25616","487",
"0500000US01051","Elmore County, Alabama","32529","559","554","238","31975","619",
"0500000US01053","Escambia County, Alabama","12781","438","180","75","12601","450",
"0500000US01055","Etowah County, Alabama","39160","581","813","264","38347","612",
"0500000US01057","Fayette County, Alabama","6051","253","86","53","5965","264",
"0500000US01059","Franklin County, Alabama","11593","368","95","69","11498","352",
"0500000US01061","Geneva County, Alabama","10550","270","119","57","10431","284",
"0500000US01063","Greene County, Alabama","3037","199","44","40","2993","199",
"0500000US01065","Hale County, Alabama","5541","253","163","88","5378","278",
"0500000US01067","Henry County, Alabama","6684","311","85","45","6599","304",
"0500000US01069","Houston County, Alabama","42581","402","593","83","41988","403",
"0500000US01071","Jackson County, Alabama","21186","427","237","104","20949","446",
"0500000US01073","Jefferson County, Alabama","268911","1573","4165","630","264746","1641",
"0500000US01075","Lamar County, Alabama","4987","255","144","93","4843","242",
"0500000US01077","Lauderdale County, Alabama","38777","507","584","195","38193","530",
"0500000US01079","Lawrence County, Alabama","13145","324","96","52","13049","324",
"0500000US01081","Lee County, Alabama","67944","759","657","273","67287","798",
"0500000US01083","Limestone County, Alabama","40021","619","363","141","39658","616",
"0500000US01085","Lowndes County, Alabama","4161","161","108","75","4053","168",
"0500000US01087","Macon County, Alabama","7151","243","58","29","7093","236",
"0500000US01089","Madison County, Alabama","162469","1068","3877","665","158592","1414",
"0500000US01091","Marengo County, Alabama","7615","294","34","21","7581","299",
"0500000US01093","Marion County, Alabama","10874","374","213","126","10661","418",
"0500000US01095","Marshall County, Alabama","35963","451","438","136","35525","489",
"0500000US01097","Mobile County, Alabama","160507","1367","1577","267","158930","1362",
"0500000US01099","Monroe County, Alabama","7396","287","112","66","7284","298",
"0500000US01101","Montgomery County, Alabama","90785","985","1062","233","89723","1020",
"0500000US01103","Morgan County, Alabama","48752","501","689","287","48063","584",
"0500000US01105","Perry County, Alabama","3195","195","602","212","2593","210",
"0500000US01107","Pickens County, Alabama","6946","228","52","34","6894","232",
"0500000US01109","Pike County, Alabama","12605","376","155","102","12450","368",
"0500000US01111","Randolph County, Alabama","9127","361","414","148","8713","355",
