"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M",
"Geography","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total!!Total households","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!Total households!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total!!Total households!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription","Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription","Estimate!!Percent!!Total households","Margin of Error!!Percent!!Total households","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!Total households!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent!!Total households!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription","Estimate!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription","Margin of Error!!Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription",
"0500000US01001","Autauga County, Alabama","22523","431","21710","425","17144","538","842","335","20087","541","2682","407","14367","675","349","130","449","175","0","31","813","168","20484","467","15","25","20469","461","18562","628","2836","399","16362","588","1851","391","2039","396","2308","402","15","25","1714","352","579","258","9699","680","0","31","8465","677","1234","280","10516","646","0","31","10290","643","226","80","(X)","(X)","96.4","0.7","76.1","2.3","3.7","1.5","89.2","1.8","11.9","1.7","63.8","2.9","1.5","0.6","2.0","0.8","0.0","0.2","3.6","0.7","90.9","1.7","0.1","0.1","90.9","1.7","82.4","2.5","12.6","1.8","72.6","2.4","8.2","1.7","9.1","1.7","(X)","(X)","0.6","1.1","74.3","9.7","25.1","9.7","(X)","(X)","0.0","0.4","87.3","2.8","12.7","2.8","(X)","(X)","0.0","0.4","97.9","0.8","2.1","0.8",
"0500000US01003","Baldwin County, Alabama","94642","1316","89722","1575","73979","1708","1967","419","85598","1635","9594","860","61684","1776","687","218","1762","329","15","26","4920","648","85082","1658","140","93","84942","1671","79922","1609","14592","1295","65552","1689","10231","842","9560","901","10440","960","0","31","7180","872","3260","599","36871","1344","81","78","32273","1408","4517","525","47331","1394","59","53","45489","1496","1783","451","(X)","(X)","94.8","0.7","78.2","1.3","2.1","0.4","90.4","0.9","10.1","0.9","65.2","1.7","0.7","0.2","1.9","0.4","0.0","0.1","5.2","0.7","89.9","1.0","0.1","0.1","89.8","1.0","84.4","1.1","15.4","1.3","69.3","1.5","10.8","0.9","10.1","1.0","(X)","(X)","0.0","0.4","68.8","5.1","31.2","5.1","(X)","(X)","0.2","0.2","87.5","1.5","12.3","1.5","(X)","(X)","0.1","0.1","96.1","1.0","3.8","1.0",
"0500000US01005","Barbour County, Alabama","9080","315","8023","358","5332","356","173","93","7633","376","2053","286","4423","417","100","57","114","78","0","25","1057","212","6565","336","0","25","6565","336","6024","370","1847","278","3944","304","932","192","2515","324","2128","244","0","25","1127","194","1001","200","4392","369","0","25","3211","336","1181","192","2560","230","0","25","2227","203","333","127","(X)","(X)","88.4","2.3","58.7","3.6","1.9","1.0","84.1","2.7","22.6","3.1","48.7","3.8","1.1","0.6","1.3","0.9","0.0","0.4","11.6","2.3","72.3","3.3","0.0","0.4","72.3","3.3","66.3","3.7","20.3","3.0","43.4","3.2","10.3","2.1","27.7","3.3","(X)","(X)","0.0","1.9","53.0","7.4","47.0","7.4","(X)","(X)","0.0","0.9","73.1","4.0","26.9","4.0","(X)","(X)","0.0","1.5","87.0","4.5","13.0","4.5",
"0500000US01007","Bibb County, Alabama","7571","288","6701","312","4639","363","255","134","6326","320","1502","283","3361","328","24","21","45","42","0","25","870","235","6160","344","16","30","6144","347","5865","355","1773","269","3189","389","1295","250","1411","277","1650","324","0","25","1072","282","578","183","3281","401","16","30","2476","367","789","240","2640","341","0","25","2596","340","44","37","(X)","(X)","88.5","3.0","61.3","4.6","3.4","1.8","83.6","3.1","19.8","3.7","44.4","3.9","0.3","0.3","0.6","0.6","0.0","0.5","11.5","3.0","81.4","3.5","0.2","0.4","81.2","3.6","77.5","3.7","23.4","3.4","42.1","4.7","17.1","3.4","18.6","3.5","(X)","(X)","0.0","2.4","65.0","9.8","35.0","9.8","(X)","(X)","0.5","0.9","75.5","6.7","24.0","6.6","(X)","(X)","0.0","1.5","98.3","1.4","1.7","1.4",
"0500000US01009","Blount County, Alabama","21977","403","20186","471","15031","587","434","119","19112","523","3729","488","12439","644","168","75","648","270","24","33","1791","295","18551","527","106","78","18445","520","16238","508","4719","581","11749","671","2655","405","3426","386","3415","449","0","31","2317","439","1098","240","9535","542","27","24","7973","560","1535","264","9027","563","79","75","8155","538","793","193","(X)","(X)","91.9","1.3","68.4","2.3","2.0","0.5","87.0","1.6","17.0","2.2","56.6","2.8","0.8","0.3","2.9","1.2","0.1","0.1","8.1","1.3","84.4","1.7","0.5","0.4","83.9","1.7","73.9","1.8","21.5","2.6","53.5","2.8","12.1","1.8","15.6","1.7","(X)","(X)","0.0","1.2","67.8","7.1","32.2","7.1","(X)","(X)","0.3","0.3","83.6","2.7","16.1","2.7","(X)","(X)","0.9","0.8","90.3","2.1","8.8","2.1",
"0500000US01011","Bullock County, Alabama","3453","245","2833","322","2048","282","98","60","2536","336","639","155","1447","226","83","65","54","59","0","21","620","244","2260","294","16","27","2244","301","1859","290","434","127","1539","259","301","141","1193","225","1103","252","16","27","382","143","705","247","1612","297","0","21","1231","259","381","121","738","185","0","21","631","179","107","74","(X)","(X)","82.0","7.0","59.3","6.7","2.8","1.8","73.4","7.1","18.5","4.2","41.9","6.3","2.4","1.9","1.6","1.7","0.0","1.1","18.0","7.0","65.5","6.4","0.5","0.8","65.0","6.6","53.8","6.6","12.6","3.5","44.6","6.5","8.7","4.0","34.5","6.4","(X)","(X)","1.5","2.4","34.6","13.4","63.9","13.1","(X)","(X)","0.0","2.4","76.4","6.6","23.6","6.6","(X)","(X)","0.0","5.3","85.5","9.7","14.5","9.7",
"0500000US01013","Butler County, Alabama","7262","313","6429","331","4237","323","345","110","5835","331","1539","287","3369","313","109","50","221","87","0","21","833","154","5798","340","6","10","5792","341","5020","294","1432","222","3861","321","606","129","1464","196","1512","251","0","21","1012","180","500","148","3402","332","0","21","2716","293","686","136","2348","296","6","10","2064","280","278","98","(X)","(X)","88.5","2.1","58.3","3.5","4.8","1.5","80.3","2.5","21.2","3.7","46.4","3.8","1.5","0.7","3.0","1.2","0.0","0.5","11.5","2.1","79.8","2.7","0.1","0.1","79.8","2.7","69.1","3.0","19.7","3.0","53.2","3.3","8.3","1.7","20.2","2.7","(X)","(X)","0.0","2.6","66.9","7.1","33.1","7.1","(X)","(X)","0.0","1.2","79.8","3.5","20.2","3.5","(X)","(X)","0.3","0.4","87.9","3.9","11.8","3.9",
"0500000US01015","Calhoun County, Alabama","45125","708","41949","685","30688","915","1256","335","39507","776","7534","654","25023","871","589","144","807","218","19","28","3176","414","38509","765","0","31","38509","765","33944","877","7417","781","28673","1079","3781","441","6616","573","8313","773","0","31","5540","536","2773","468","20112","969","0","31","17151","909","2961","405","16700","944","0","31","15818","968","882","258","(X)","(X)","93.0","0.9","68.0","1.7","2.8","0.7","87.6","1.1","16.7","1.4","55.5","1.8","1.3","0.3","1.8","0.5","0.0","0.1","7.0","0.9","85.3","1.2","0.0","0.1","85.3","1.2","75.2","1.6","16.4","1.7","63.5","2.1","8.4","1.0","14.7","1.2","(X)","(X)","0.0","0.5","66.6","4.0","33.4","4.0","(X)","(X)","0.0","0.2","85.3","1.9","14.7","1.9","(X)","(X)","0.0","0.2","94.7","1.6","5.3","1.6",
"0500000US01017","Chambers County, Alabama","13419","476","12139","550","7947","515","279","95","11330","594","3150","420","6873","538","248","170","110","72","0","28","1280","234","10616","553","47","39","10569","549","9690","505","1724","302","8298","549","1011","252","2803","386","2710","377","0","28","1624","341","1086","243","6288","482","35","33","4912","416","1341","309","4421","460","12","22","4033","443","376","142","(X)","(X)","90.5","1.8","59.2","3.1","2.1","0.7","84.4","2.5","23.5","2.9","51.2","3.6","1.8","1.3","0.8","0.5","0.0","0.3","9.5","1.8","79.1","2.8","0.4","0.3","78.8","2.8","72.2","2.6","12.8","2.2","61.8","3.2","7.5","1.9","20.9","2.8","(X)","(X)","0.0","1.5","59.9","8.1","40.1","8.1","(X)","(X)","0.6","0.5","78.1","4.3","21.3","4.3","(X)","(X)","0.3","0.5","91.2","3.2","8.5","3.1",
