"GEO_ID","NAME","pct_no_hs","med_inc","gini","med_home_val","med_rent","med_mortgage","pct_owner_occ","pct_no_vehicle","pct_overcrowded","pct_vacant","pct_rent_gt35","pct_unemployed","pct_poverty","pct_single_parent","pct_nonwhite","pct_public_assist","pct_uninsured","county_fips","state","county"
"0500000US01001","Autauga County, Alabama",90.3,69841,0.4515,197900,1200,1416,74.9,3.8,1.40000000000001,8.9,27.8,2.5,8.1,5.8,26.4,0.670425786973316,7.4,"01001","Alabama","Autauga County"
"0500000US01003","Baldwin County, Alabama",91.7,75019,0.4589,287000,1211,1563,77.5,2.2,1.5,26.4,37.9,3.2,7.3,4.1,17.2,0.890725048075907,8.2,"01003","Alabama","Baldwin County"
"0500000US01005","Barbour County, Alabama",77.8,44290,0.5061,109900,644,1185,67.5,11.1,2.5,22.4,30.7,5.7,17.7,11.1,56,1.85022026431718,10.8,"01005","Alabama","Barbour County"
"0500000US01007","Bibb County, Alabama",80.3,51215,0.4526,132600,802,1195,77.2,6.5,1.40000000000001,16.7,46.9,10,16,7.5,24.9,5.05877691190067,8.3,"01007","Alabama","Bibb County"
"0500000US01009","Blount County, Alabama",82.7,61096,0.4461,169700,743,1315,79.5,4.3,2.5,11.4,44.3,5.8,10.3,5.3,10.5,2.0339445784229,10.2,"01009","Alabama","Blount County"
"0500000US01011","Bullock County, Alabama",74,36723,0.4981,79400,635,1068,63.5,12.6,4.7,24.2,53.6,5.9,19.5,15.9,77.1,0.173761946133797,12.9,"01011","Alabama","Bullock County"
"0500000US01013","Butler County, Alabama",87.6,44881,0.4969,99700,722,1088,68.4,5.9,0.299999999999997,26.2,38.1,6.8,18.5,7.9,48.8,1.29440925364913,12.3,"01013","Alabama","Butler County"
"0500000US01015","Calhoun County, Alabama",86.1,55826,0.4586,149500,804,1170,70.4,6.4,1.3,15.3,37.2,6.4,12.5,7.7,29,1.85263157894737,11.1,"01015","Alabama","Calhoun County"
"0500000US01017","Chambers County, Alabama",83.6,49295,0.4367,129700,850,1085,71,7.8,5.3,18.3,29.8,5,12.3,5.9,44.6,1.03584469781653,12.2,"01017","Alabama","Chambers County"
"0500000US01019","Cherokee County, Alabama",83.9,50769,0.4541,165900,750,1220,79.5,3.1,1.59999999999999,28.5,34.9,3.4,12.6,5.3,8.7,1.89939868282905,9,"01019","Alabama","Cherokee County"
"0500000US01021","Chilton County, Alabama",84.2,61873,0.4259,142300,855,1233,76.8,3,2.59999999999999,10.9,25.8,5.4,10.2,4.2,19.1,2.44958414036687,10.1,"01021","Alabama","Chilton County"
"0500000US01023","Choctaw County, Alabama",84.2,44483,0.4554,111800,653,1088,82.2,6.5,1.3,27.8,35.7,5.5,16.5,6.5,43.3,1.73946656358717,8.2,"01023","Alabama","Choctaw County"
"0500000US01025","Clarke County, Alabama",85.3,49167,0.5221,126400,785,1328,70.9,11,1.3,27.9,45,13.2,13.1,6.8,48.5,1.02934216753431,8.2,"01025","Alabama","Clarke County"
"0500000US01027","Clay County, Alabama",82.8,51852,0.464,144700,624,1151,77.7,5.9,2.5,18.5,24.4,3.5,13.4,7.6,19.5,5.86296617519514,8.4,"01027","Alabama","Clay County"
"0500000US01029","Cleburne County, Alabama",85.4,53319,0.4538,144200,792,1237,80,6.1,2.2,14.7,32.6,1.5,6.8,5,7.2,2.05163275773636,9.3,"01029","Alabama","Cleburne County"
"0500000US01031","Coffee County, Alabama",86,64672,0.4451,180300,970,1368,69.2,4,1.90000000000001,14.5,31.7,4.3,13.9,8.6,28.5,1.03068072866731,10.5,"01031","Alabama","Coffee County"
"0500000US01033","Colbert County, Alabama",87.5,56736,0.453,161600,838,1230,70.8,3.8,1.40000000000001,13.2,38,3.3,13.2,7.7,22,0.681339554858157,7.4,"01033","Alabama","Colbert County"
"0500000US01035","Conecuh County, Alabama",87.5,42266,0.4827,101300,781,1125,74.9,7.7,2.09999999999999,29.7,49.5,8.3,17.3,4.7,49.8,3.11395759717314,8.2,"01035","Alabama","Conecuh County"
"0500000US01037","Coosa County, Alabama",82.8,57063,0.3946,111800,682,989,81.3,5,3.90000000000001,30.5,53,5.1,8,3.5,35.4,0.690311830516544,7.4,"01037","Alabama","Coosa County"
"0500000US01039","Covington County, Alabama",86.2,50886,0.4934,142500,736,1116,75.7,6.1,1.59999999999999,22.4,37.4,4.6,14.7,6.9,16.8,1.70403587443946,10.3,"01039","Alabama","Covington County"
"0500000US01041","Crenshaw County, Alabama",82.6,49040,0.5108,108400,664,1175,74.2,7.8,1.5,22.7,30.8,4.9,9.1,5.3,29.4,2.62068965517241,9.2,"01041","Alabama","Crenshaw County"
"0500000US01043","Cullman County, Alabama",85,60916,0.4372,180500,883,1275,76.4,2.8,2.09999999999999,12.6,30.2,4.2,9.9,5.9,9,1.0248096575283,10.7,"01043","Alabama","Cullman County"
"0500000US01045","Dale County, Alabama",85.7,53955,0.4498,129100,863,1120,61.3,5.4,1.2,13.7,29.2,6.8,14.9,8.2,31.4,2.14983054276898,10.9,"01045","Alabama","Dale County"
"0500000US01047","Dallas County, Alabama",87.1,36810,0.5047,97400,749,1143,61,15.1,1.7,18.6,52.4,10.9,24,7.6,72.8,12.0329527763363,9.3,"01047","Alabama","Dallas County"
"0500000US01049","DeKalb County, Alabama",78.9,51149,0.4417,135500,683,1145,76.8,3.9,3.3,15.9,31.3,4.2,14.6,5.2,18.7,1.27187235026594,15,"01049","Alabama","DeKalb County"
"0500000US01051","Elmore County, Alabama",89.6,75553,0.4359,213600,1014,1401,76.9,4.1,1.40000000000001,12.3,39.5,3.9,9,7.2,26.7,1.70309569922223,7.7,"01051","Alabama","Elmore County"
"0500000US01053","Escambia County, Alabama",82.5,44447,0.4684,122700,709,1102,68.7,7,0.5,23.7,41.5,9.1,17.1,7,39,1.40834050543776,11.3,"01053","Alabama","Escambia County"
